City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
11,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
18,Kapaa,US,74.1,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Buala,SB,83.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
21,Thayetmyo,MM,88.83,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
24,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
27,Vaini,TO,78.21,clear sky,-21.2,-175.2,Keleti Beach Resort
36,Atuona,PF,78.19,clear sky,-9.8,-139.0333,Villa Enata
41,Alofi,NU,78.06,broken clouds,-19.0595,-169.9187,Taloa Heights
45,Kavieng,PG,84.07,light rain,-2.5744,150.7967,Nusa Island Retreat
46,Makakilo City,US,75.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
54,Celestun,MX,76.24,few clouds,20.8667,-90.4,Posada Lilia
56,Thai Binh,VN,85.37,few clouds,20.45,106.3333,Sweden Hotel
57,Bengkulu,ID,80.71,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
69,Sinnamary,GF,77.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
71,Hirara,JP,77.58,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
76,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
81,Tura,IN,77.11,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
82,Rosita,NI,71.55,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
84,Merauke,ID,84.33,moderate rain,-8.4667,140.3333,
89,Alta Floresta,BR,70.47,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
91,Inhambupe,BR,70.79,broken clouds,-11.7844,-38.3531,Hotel JVS
94,Rikitea,PF,74.17,moderate rain,-23.1203,-134.9692,People ThankYou
97,Victoria,HK,80.96,scattered clouds,22.2855,114.1577,Mini Central
100,Caravelas,BR,71.53,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
101,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,Le four à pain
105,Tonj,SS,81.63,scattered clouds,7.2737,28.6822,Lakan Hotel
106,Muli,MV,81.7,broken clouds,2.9167,73.5667,Medhufushi Island Resort
107,Hilo,US,72.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
108,Karratha,AU,79.92,few clouds,-20.7377,116.8463,ibis Styles Karratha
109,Faanui,PF,79.95,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Gbadolite,CD,73.56,broken clouds,4.2833,21.0167,Zenic
114,Mangrol,IN,86.09,few clouds,21.1167,70.1167,Hotel The Royal Honours
115,Maceio,BR,74.64,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
117,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
118,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
129,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
130,Ca Mau,VN,86.0,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
132,Sao Filipe,CV,77.13,broken clouds,14.8961,-24.4956,Hotel Xaguate
138,Mocuba,MZ,84.31,clear sky,-16.8392,36.9856,Phama Lodge
140,Loa Janan,ID,87.33,light rain,-0.583,117.095,Kost Garuda
148,Koppies,ZA,75.6,clear sky,-27.2418,27.5742,Friesland Hotel
155,Namatanai,PG,83.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
156,Itarema,BR,77.68,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
165,Along,IN,78.58,broken clouds,28.1667,94.7667,Hotel West
166,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
171,Amahai,ID,85.59,light rain,-3.3333,128.9167,HOTEL ISABELA
172,Arraial Do Cabo,BR,71.15,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
177,Waingapu,ID,86.85,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
178,Dingle,PH,84.04,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
183,Lorengau,PG,84.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
186,Gorontalo,ID,85.78,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
187,Pouembout,NC,79.93,overcast clouds,-21.1333,164.9,Camping de Tipenga
188,Kerema,PG,85.12,overcast clouds,-7.9631,145.7785,Frena Lodge
190,Bonfim,BR,78.4,overcast clouds,3.0833,-59.95,
191,Tecoanapa,MX,76.42,broken clouds,16.5167,-98.75,Hotel Manglares
192,Nago,JP,79.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
195,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
