City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,-2.69,99,97,5.06,overcast clouds
1,Geraldton,AU,-28.7667,114.6,70.21,46,100,18.41,overcast clouds
2,Kristinehamn,SE,59.3098,14.1081,32.56,82,90,10.54,overcast clouds
3,Tuatapere,NZ,-46.1333,167.6833,55.81,93,100,3.47,overcast clouds
4,Castro,BR,-24.7911,-50.0119,51.19,87,0,6.08,clear sky
5,Ust-Nera,RU,64.5667,143.2,-9.44,99,100,2.21,overcast clouds
6,Deputatskiy,RU,69.3,139.9,-30.37,100,49,2.1,scattered clouds
7,Andenes,NO,69.3143,16.1194,33.78,86,0,10.36,clear sky
8,Coihaique,CL,-45.5752,-72.0662,46.94,98,98,3.51,light rain
9,Cape Town,ZA,-33.9258,18.4232,66.11,64,20,17.27,few clouds
10,Ribeira Grande,PT,38.5167,-28.7,61.77,65,63,5.99,broken clouds
11,Georgetown,MY,5.4112,100.3354,87.73,83,20,9.22,few clouds
12,Bredasdorp,ZA,-34.5322,20.0403,62.29,57,100,6.38,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,61.72,48,97,3.0,overcast clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,97,1.01,overcast clouds
15,Bemidji,US,47.4736,-94.8803,19.18,91,100,0.0,overcast clouds
16,Verkhnyaya Inta,RU,65.9811,60.3094,-3.21,83,38,14.97,scattered clouds
17,Coquimbo,CL,-29.9533,-71.3436,59.5,88,12,0.45,few clouds
18,Kapaa,US,22.0752,-159.319,74.1,84,100,3.0,overcast clouds
19,Albany,US,42.6001,-73.9662,36.88,90,63,7.58,broken clouds
20,Buala,SB,-8.145,159.5921,83.03,75,56,2.59,light rain
21,Thayetmyo,MM,19.3167,95.1833,88.83,44,6,7.2,clear sky
22,Charagua,BO,-19.8,-63.2167,68.83,47,86,2.8,overcast clouds
23,Okhtyrka,UA,50.3104,34.8988,31.8,97,100,11.68,light snow
24,Bambous Virieux,MU,-20.3428,57.7575,79.21,55,17,8.77,few clouds
25,Copiapo,CL,-27.3667,-70.3333,64.33,70,0,0.98,clear sky
26,Kemijarvi,FI,66.7131,27.4306,15.82,95,64,2.04,broken clouds
27,Vaini,TO,-21.2,-175.2,78.21,64,0,2.77,clear sky
28,Chokurdakh,RU,70.6333,147.9167,-13.5,95,98,5.57,overcast clouds
29,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,11.5,light snow
30,Punta Arenas,CL,-53.15,-70.9167,46.11,75,100,9.48,overcast clouds
31,Jalu,LY,29.0331,21.5482,60.8,40,0,10.29,clear sky
32,Ushuaia,AR,-54.8,-68.3,42.55,72,100,10.07,overcast clouds
33,Pavilosta,LV,56.8879,21.1859,30.11,78,9,8.75,clear sky
34,Bluff,NZ,-46.6,168.3333,58.8,95,100,14.25,overcast clouds
35,Okha,RU,53.5739,142.9478,19.33,86,14,7.18,few clouds
36,Atuona,PF,-9.8,-139.0333,78.19,75,10,15.5,clear sky
37,Aykhal,RU,66.0,111.5,-21.98,100,99,4.16,overcast clouds
38,Khatanga,RU,71.9667,102.5,-29.02,100,94,6.76,overcast clouds
39,Novikovo,RU,51.1537,37.8879,29.01,96,100,10.83,light snow
40,Thompson,CA,55.7435,-97.8558,10.04,91,100,10.33,overcast clouds
