City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-10-18 18:55:35,71.2906,-156.7887,20.7,88,65,10.25
1,Busselton,AU,2022-10-18 18:55:35,-33.65,115.3333,52.5,92,8,8.28
2,Ushuaia,AR,2022-10-18 18:55:36,-54.8,-68.3,47.82,87,75,26.46
3,Upernavik,GL,2022-10-18 18:55:36,72.7868,-56.1549,29.17,79,100,17.09
4,Punta Arenas,CL,2022-10-18 18:54:46,-53.15,-70.9167,57.31,54,20,36.82
5,Riyadh,SA,2022-10-18 18:51:07,24.6877,46.7219,78.94,13,73,3.65
6,Cape Town,ZA,2022-10-18 18:53:05,-33.9258,18.4232,65.12,86,20,17.27
7,Bluff,NZ,2022-10-18 18:55:37,-46.6,168.3333,46.27,76,67,16.55
8,Tabou,CI,2022-10-18 18:55:38,4.423,-7.3528,77.63,86,33,5.88
9,East London,ZA,2022-10-18 18:55:38,-33.0153,27.9116,68.94,94,75,5.75
10,Ponta Do Sol,PT,2022-10-18 18:55:39,32.6667,-17.1,74.03,75,92,7.36
11,Hilo,US,2022-10-18 18:52:26,19.7297,-155.09,87.28,70,0,3.44
12,Kapaa,US,2022-10-18 18:55:39,22.0752,-159.319,79.48,88,4,1.01
13,Rikitea,PF,2022-10-18 18:55:40,-23.1203,-134.9692,68.41,65,0,21.25
14,Severo-Kurilsk,RU,2022-10-18 18:55:40,50.6789,156.125,40.37,66,50,32.23
15,Cherskiy,RU,2022-10-18 18:55:41,68.75,161.3,-1.05,95,100,6.35
16,Hambantota,LK,2022-10-18 18:55:41,6.1241,81.1185,79.14,89,99,3.44
17,Ahipara,NZ,2022-10-18 18:55:42,-35.1667,173.1667,56.12,77,52,13.09
18,Tayuman,PH,2022-10-18 18:55:42,14.5142,121.1622,78.85,92,100,5.75
19,Esperance,AU,2022-10-18 18:55:42,-33.8667,121.9,50.38,89,0,10.2
20,Ilulissat,GL,2022-10-18 18:55:43,69.2167,-51.1,33.48,99,100,3.33
21,Kodiak,US,2022-10-18 18:55:43,57.79,-152.4072,47.71,81,100,9.22
22,Chokurdakh,RU,2022-10-18 18:55:44,70.6333,147.9167,8.28,97,98,6.29
23,Leningradskiy,RU,2022-10-18 18:55:44,69.3833,178.4167,4.53,84,8,5.26
24,Fort Nelson,CA,2022-10-18 18:55:45,58.8053,-122.7002,38.79,81,75,3.44
